limpe a lista a seguir e deixe somente as linhas que conterem failed: [  102.4037] I/Host: Status: Varredura 'Fighting-Force-SLUS-00433.chd'...
[  110.8314] I/Host: Status: Varredura 'Gaia-Master-SLPS-02075.chd'...
[  110.8693] I/Host: Status: Varredura 'Gaiaseed-Project-Seed-Trap-SLPS-00624.chd'...
[  110.9372] I/Host: Status: Varredura 'Gakkou-Deatta-Kowai-Hanashi-S-SLPS-00404.chd'...
[  111.0797] I/Host: Status: Varredura 'Gakkou-O-Tsukurou-2-SLPS-01660.chd'...
[  111.2045] I/Host: Status: Varredura 'Gakkou-O-Tsukurou-Koushou-Sensei-Monogatari-SLPS-02998.chd'...
[  111.3513] I/Host: Status: Varredura 'Gakkou-O-Tsukurou-Let's-Make-A-School-SLPS-01103.chd'...
[  111.4017] I/Host: Status: Varredura 'Gakuen-Sentai-Solblast-SLPS-01852.chd'...
[  111.4270] I/Host: Status: Varredura 'Gakuensai-SLPS-01638.chd'...
[  111.4659] I/Host: Status: Varredura 'Galaxian-3-SCES-00269.chd'...
[  111.4852] I/Host: Status: Varredura 'Galaxy-Fight-Universal-Warriors-SLPS-00138(1).chd'...
[  111.5234] I/Host: Status: Varredura 'Galaxy-Fight-Universal-Warriors-SLPS-00138.chd'...
[  111.5609] I/Host: Status: Varredura 'Gale-Gunner-SLPS-02596.chd'...
[  111.6069] I/Host: Status: Varredura 'Galerians-SLUS-00986-Disc1.chd'...
[  111.6621] I/Host: Status: Varredura 'Gallop-Racer-2-One-And-Only-Road-To-Victory-SLPS-01077.chd'...
[  111.6950] I/Host: Status: Varredura 'Gallop-Racer-2000-SLPS-02623.chd'...
[  111.7370] I/Host: Status: Varredura 'Gallop-Racer-3-One-And-Only-Road-To-Victory-SLPS-01981.chd'...
[  111.7643] I/Host: Status: Varredura 'Gallop-Racer-SLUS-00942.chd'...
[  111.8071] I/Host: Status: Varredura 'Gambler-Jiko-Chuushinka-Ippatsushoubu-Tokyo-Mahjong-Land-SLPS-02509.chd'...
[  111.8472] I/Host: Status: Varredura 'Game-De-Wa-Jumeru-Toeic-Test-Mazuha-Nyuumonhen-1500-SLPS-03549.chd'...
[  111.8839] I/Host: Status: Varredura 'Game-Maker-The-SLPS-01583.chd'...
[  111.9373] I/Host: Status: Varredura 'Game-Nihonshi-Kakumeiji-Oda-Nobunaga-SLPS-00774.chd'...
[  111.9636] I/Host: Status: Varredura 'Game-No-Tatsujin-2-SLPS-00213.chd'...
[  112.0201] I/Host: Status: Varredura 'Game-No-Tatsujin-SLPS-00030.chd'...
[  112.0576] I/Host: Status: Varredura 'Game-No-Tatsujin-The-Shanghai-SLPS-00096.chd'...
[  112.0969] I/Host: Status: Varredura 'Game-Of-Life2c-The-Dx-Jinsei-Game-IV-SLPM-86963.chd'...
[  112.1337] I/Host: Status: Varredura 'Gamera-2000-SLPS-00833.chd'...
[  112.1623] I/Host: Status: Varredura 'Gamesoft-O-Tsukurou-Let's-Be-A-Super-Game-Creator-SLPS-01607.chd'...
[  112.2097] I/Host: Status: Varredura 'Ganbare-Goemon-Kurunarakoi-Ayashigeikka-No-Kuroikage-SLPM-86155(2).chd'...
[  112.2942] I/Host: Status: Varredura 'Ganbare-Goemon-Kurunarakoi-Ayashigeikka-No-Kuroikage-SLPM-86155.chd'...
[  112.5794] I/Host: Status: Varredura 'Ganbare-Goemon-Ooedo-Daikaiten-SLPM-86774.chd'...
[  112.6502] I/Host: Status: Varredura 'Ganbare-Goemon-Uchuu-Kaizoku-Akogingu-SLPS-00217.chd'...
[  112.6872] I/Host: Status: Varredura 'Ganbare-Morikawa-Kun-2-Gou-SCPS-10033.chd'...
[  112.7461] I/Host: Status: Varredura 'Ganbare-Morikawakun-2-Gou-SCPS-10033.chd'...
[  112.7752] I/Host: Status: Varredura 'Ganbare-Nippon-Olympics-2000-SLPM-86482.chd'...
[  112.8241] I/Host: Status: Varredura 'Gangway-Monsters-SLPS-01468.chd'...
[  112.8477] I/Host: Status: Varredura 'Ganso-Family-Mahjong-2-SLPS-02094.chd'...
[  112.8888] I/Host: Status: Varredura 'Ganso-Family-Mahjong-SLPS-01373.chd'...
[  112.9277] I/Host: Status: Varredura 'Garou-Densetsu-Wild-Ambition-SCPS-45409.chd'...
[  112.9820] I/Host: Status: Varredura 'Gatekeepers-SLPS-02246-Disc1.chd'...
[  113.0451] I/Host: Status: Varredura 'Gauntlet-Legends-SLUS-00624.chd'...
[  113.0914] I/Host: Status: Varredura 'Gear-Fighter-Dendoh-SLPS-03189.chd'...
[  113.1320] I/Host: Status: Varredura 'Gegege-No-Kitarou-Gyakushuu-Youkai-Daikessen-SLPM-86424.chd'...
[  113.1857] I/Host: Status: Varredura 'Gegege-No-Kitarou-Gyakushuu-Youkai-Daikessen-SLPM-87286.chd'...
[  113.2441] I/Host: Status: Varredura 'Gegege-No-Kitarou-Noroi-No-Nikuto-Katachi-Tachi-SLPS-00644.chd'...
[  113.2794] I/Host: Status: Varredura 'Geikisou-Grand-Racing-Total-Drivin'-SLPS-01346.chd'...
[  113.3217] I/Host: Status: Varredura 'Geki-Oh-Shooting-King-Shienryu-SLPS-02056.chd'...
[  113.3464] I/Host: Status: Varredura 'Gekido-Urban-Fighters-SLUS-00970.chd'...
[  113.3937] I/Host: Status: Varredura 'Gekioh-Shooting-King-SLUS-01498.chd'...
[  113.4209] I/Host: Status: Varredura 'Gekiretsu-Pachinkazu-SLPS-00696.chd'...
[  113.4905] I/Host: Status: Varredura 'Gekitotsu-Toma-L'arc-L'arc-En-Ceil-Vs-Tomarunner-SCPS-10134.chd'...
[  113.5359] I/Host: Status: Varredura 'Gekitotsu-Yonku-Battle-Test-Drive-Off-Road-4WD-SLPS-00926.chd'...
[  113.5701] I/Host: Status: Varredura 'Gekka-Ni-No-Kishi-O-Ryusen-SLPS-00421.chd'...
[  113.6631] I/Host: Status: Varredura 'Genei-Tougi-Shadow-Struggle-SLPS-00491.chd'...
[  113.7031] I/Host: Status: Varredura 'Genso-Suiko-Gaiden-Vol1-Harmonia-No-Kenshi-SLPM-86637.chd'...
[  113.9878] I/Host: Status: Varredura 'Gensou-No-Artemis-Actress-School-Mystery-Adventure-SLPS-02563.chd'...
[  114.0297] I/Host: Status: Varredura 'Gensou-Suiko-Gaiden-Vol-2-Crystal-Valley-No-Kettou-SLPM-86953.chd'...
[  114.0905] I/Host: Status: Varredura 'Gensou-Suiko-Gaiden-Vol1-Harmonia-no-Kenshi-SLPM-86637.chd'...
[  114.1067] I/Host: Status: Varredura 'Gensou-Suikoden-II-SLPM-86116.chd'...
[  114.1308] I/Host: Status: Varredura 'Gensou-Suikoden-II-SLPM-86168.chd'...
[  114.2154] I/Host: Status: Varredura 'Geom-Cube-SLUS-00024.chd'...
[  114.2841] I/Host: Status: Varredura 'Geometry-Duel-SLPS-01575.chd'...
[  114.4070] I/Host: Status: Varredura 'Germs-SLPS-02107.chd'...
[  114.4609] I/Host: Status: Varredura 'Get-Backers-Dakkanoku-SLPM-86848.chd'...
[  114.4894] I/Host: Status: Varredura 'Getter-Robo-Daikessen-SLPS-02232.chd'...
[  114.5446] I/Host: Status: Varredura 'Getter-Robot-The-Big-Battle-SLPS-03017.chd'...
