"Name","Path","SizeMB"
"SLUS-00904","F:\downloads\SLUS-00904","196"
"SLUS-01122","F:\downloads\SLUS-01122","196"
"SLES-04047","F:\downloads\SLES-04047","187"
"SLUS-01049","F:\downloads\SLUS-01049","175"
"SLUS-01555","F:\downloads\SLUS-01555","169"
"SLUS-01492","F:\downloads\SLUS-01492","167"
"SLUS-01325","F:\downloads\SLUS-01325","166"
"SLES-02631","F:\downloads\SLES-02631","161"
"SLUS-01556","F:\downloads\SLUS-01556","161"
"SLUS-00948","F:\downloads\SLUS-00948","160"
"SLUS-00850","F:\downloads\SLUS-00850","158"
"SLES-02764","F:\downloads\SLES-02764","151"
"SLES-03602","F:\downloads\SLES-03602","121"
"SLUS-00999","F:\downloads\SLUS-00999","118"
"SLUS-00047","F:\downloads\SLUS-00047","104"
"SLUS-00945","F:\downloads\SLUS-00945","104"
"SCUS-94504","F:\downloads\SCUS-94504","103"
"SLUS-00327","F:\downloads\SLUS-00327","99"
"SLUS-01212","F:\downloads\SLUS-01212","99"
"SLUS-00775","F:\downloads\SLUS-00775","79"
"SLUS-01332","F:\downloads\SLUS-01332","31"
"SLUS-00395","F:\downloads\SLUS-00395","21"
"SCUS-94243","F:\downloads\SCUS-94243","16"
"SLUS-01260","F:\downloads\SLUS-01260","16"
"SCUS-94550","F:\downloads\SCUS-94550","16"
"SLUS-01570","F:\downloads\SLUS-01570","16"
"SLUS-00061","F:\downloads\SLUS-00061","8"
"SLUS-01233","F:\downloads\SLUS-01233","8"
"SLUS-00467","F:\downloads\SLUS-00467","8"
"SLUS-00905","F:\downloads\SLUS-00905","8"
"SLUS-00902","F:\downloads\SLUS-00902","8"
"SCUS-94272","F:\downloads\SCUS-94272","8"
"SLUS-00205","F:\downloads\SLUS-00205","8"
"SLUS-00038","F:\downloads\SLUS-00038","8"
"SCUS-94302","F:\downloads\SCUS-94302","8"
"SLUS-00600","F:\downloads\SLUS-00600","8"
"SCUS-94172","F:\downloads\SCUS-94172","8"
"SLUS-00993","F:\downloads\SLUS-00993","8"
"SLUS-01173","F:\downloads\SLUS-01173","8"
"SLUS-00150","F:\downloads\SLUS-00150","8"
"SLUS-00057","F:\downloads\SLUS-00057","8"
"SLUS-00862","F:\downloads\SLUS-00862","4"
"SLUS-01399","F:\downloads\SLUS-01399","4"
"SLUS-01246","F:\downloads\SLUS-01246","4"
"SLUS-00002","F:\downloads\SLUS-00002","4"
"SLUS-00142","F:\downloads\SLUS-00142","4"
"SLUS-00932","F:\downloads\SLUS-00932","1"
"SLUS-00282","F:\downloads\SLUS-00282","0"
"SLES-00532","F:\downloads\SLES-00532","0"
"SLUS-01097","F:\downloads\SLUS-01097","0"
"SLES-00748","F:\downloads\SLES-00748","0"
"SLUS-01269","F:\downloads\SLUS-01269","0"
"SLUS-01307","F:\downloads\SLUS-01307","0"
"SLES-01317","F:\downloads\SLES-01317","0"
"SLES-00307","F:\downloads\SLES-00307","0"
"SLES-01875","F:\downloads\SLES-01875","0"
